"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Mean_Across_Years"
"Europe & Central Asia (excluding high income)","ECA","GDP per capita (current US$)","NY.GDP.PCAP.CD",10762.5280559086,9914.02904436971,7486.32741358411,7075.87465465798,7900.5553161219,8025.1556076003,8153.19343366464,7477.87843064562,8912.81407575584,10379.7729446256,8608.81289769343
"Europe & Central Asia (excluding high income)","ECA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia (excluding high income)","ECA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","GDP per capita (current US$)","NY.GDP.PCAP.CD",10974.0841747303,10318.1638400563,8020.64599297702,7670.48288897068,8565.50796082823,8897.54080256115,9039.80027971004,8455.23762063887,9982.81222980684,11342.4918645243,9326.67676548037
"Europe & Central Asia (IDA & IBRD countries)","TEC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD",34564.5825482831,35282.0273007264,30487.1561746619,31174.0338747893,33090.6343990218,35751.5725841052,35079.5342959551,34356.5746175527,38721.0779400492,37433.2784499183,34594.0472185063
"European Union","EUU","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Union","EUU","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragile and conflict affected situations","FCS","GDP per capita (current US$)","NY.GDP.PCAP.CD",2338.71829996799,2428.07336146079,1890.48128039836,1742.8931213777,1805.7937710783,1852.31846300791,1919.78325083679,1700.98567130762,1779.3132913511,1870.33719810526,1932.86977088918
"Fragile and conflict affected situations","FCS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragile and conflict affected situations","FCS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heavily indebted poor countries (HIPC)","HPC","GDP per capita (current US$)","NY.GDP.PCAP.CD",988.605140695814,1021.15644841509,963.318067757582,981.831642180149,1055.40420733235,977.237530453693,985.130486573086,968.465881346309,1047.07519807515,1109.01426124728,1009.72388640765
"Heavily indebted poor countries (HIPC)","HPC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heavily indebted poor countries (HIPC)","HPC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High income","HIC","GDP per capita (current US$)","NY.GDP.PCAP.CD",41752.3619190175,42412.1297171059,39811.4801820307,40428.1793753078,42077.8430006954,44528.1687418121,44725.9950930598,43457.6982437448,48535.4658244281,49607.246548019,43733.6568645221
"High income","HIC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High income","HIC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IBRD only","IBD","GDP per capita (current US$)","NY.GDP.PCAP.CD",5839.26074048732,5971.5147423237,5536.38216278755,5523.36142053282,6043.46039749913,6373.97046214621,6460.50116507723,6177.52639548107,7284.44912688649,7682.79088931312,6289.32175025346
"IBRD only","IBD","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IBRD only","IBD","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA & IBRD total","IBT","GDP per capita (current US$)","NY.GDP.PCAP.CD",4727.35175927617,4836.87165696891,4486.33398918223,4463.08064447373,4847.68098187748,5084.85405170106,5140.64185489847,4901.56930443291,5718.69000304404,6007.37076143112,5021.44450072861
"IDA & IBRD total","IBT","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA & IBRD total","IBT","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA blend","IDB","GDP per capita (current US$)","NY.GDP.PCAP.CD",2008.21295964126,2135.8406627848,1987.56753401958,1820.08119041884,1753.2708306151,1877.77672368693,1876.65480569221,1722.41776970966,1844.3200096414,1933.55647255046,1895.96989587602
"IDA blend","IDB","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA blend","IDB","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA only","IDX","GDP per capita (current US$)","NY.GDP.PCAP.CD",1043.98098224555,1095.15616800929,1073.59743511727,1133.38080942978,1216.33837092024,1181.35314133395,1214.58259192351,1200.24907060145,1272.35034846518,1337.01317471944,1176.80020927657
"IDA only","IDX","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA only","IDX","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA total","IDA","GDP per capita (current US$)","NY.GDP.PCAP.CD",1367.05147466667,1443.62287339615,1379.21060240615,1362.4619822528,1395.04993086463,1412.71194201206,1434.10009719282,1373.08761747871,1461.41110872837,1534.02309278529,1416.27307217837
"IDA total","IDA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA total","IDA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Late-demographic dividend","LTE","GDP per capita (current US$)","NY.GDP.PCAP.CD",8544.80177486848,8812.62863347942,8213.98043073017,8182.34473545212,9022.30188954083,9840.39463120476,9979.38342083542,9722.31042125303,11556.4864563168,12072.7671900597,9594.73995837407
"Late-demographic dividend","LTE","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Late-demographic dividend","LTE","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD",10450.9409414168,10539.3744128198,8723.13545715196,8421.1480767647,9255.8059757905,8977.99255312428,8772.56219413792,7393.17471855658,8478.6334058771,9559.21345557566,9057.19811912153
"Latin America & Caribbean","LCN","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean","LCN","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean (excluding high income)","LAC","GDP per capita (current US$)","NY.GDP.PCAP.CD",9937.19652727501,9870.61765396447,8301.02679356578,7972.03218839112,8788.35026750045,8446.59232232899,8246.5166728875,6889.46986082371,7873.98078159932,8971.78037168385,8529.75634400202
"Latin America & Caribbean (excluding high income)","LAC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean (excluding high income)","LAC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","GDP per capita (current US$)","NY.GDP.PCAP.CD",10377.0116163915,10460.2145883457,8577.4877659067,8258.06618377099,9106.59887343947,8817.70110856844,8593.06130776569,7186.56249313951,8262.54208532494,9324.95930422935,8896.42053268823
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Least developed countries: UN classification","LDC","GDP per capita (current US$)","NY.GDP.PCAP.CD",1010.98605162019,1063.74130138772,1004.29199066255,1024.2201901702,1116.75249734232,1067.83639470651,1100.06194462748,1082.86335345338,1153.2744131558,1268.33895173377,1089.23670888599
"Least developed countries: UN classification","LDC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Least developed countries: UN classification","LDC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low & middle income","LMY","GDP per capita (current US$)","NY.GDP.PCAP.CD",4547.87982427934,4640.41499315618,4342.5952127114,4320.05019272322,4688.84021818767,4908.17192101458,4966.26046019178,4735.35732216915,5526.29613463755,5811.43047494135,4848.72967540122
"Low & middle income","LMY","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low & middle income","LMY","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low income","LIC","GDP per capita (current US$)","NY.GDP.PCAP.CD",755.011285634136,793.572053141031,774.247647253452,747.318624124845,804.873520434808,662.855806924224,686.222679051697,656.686674564115,678.653210032779,750.466942491605,730.990844365269
"Low income","LIC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low income","LIC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower middle income","LMC","GDP per capita (current US$)","NY.GDP.PCAP.CD",1991.8131752002,2062.51992003302,1979.55537109609,2037.7253258969,2159.48628984457,2179.9540622554,2238.51882000162,2123.35026410249,2405.60357592672,2561.45757553091,2173.99843798879
"Lower middle income","LMC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower middle income","LMC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD",8471.77558646259,8345.56690388364,7217.65162409964,7158.04976899796,7337.21354901812,7565.28163432557,7444.85563428996,6579.70672585057,7696.00660755537,8973.86258463188,7678.99706191153
"Middle East & North Africa","MEA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa","MEA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (excluding high income)","MNA","GDP per capita (current US$)","NY.GDP.PCAP.CD",4470.13995583534,4317.8133038336,3805.67993794431,3832.82048502443,3771.3988326831,3518.88605311116,3475.85842868128,3120.08826441252,3590.64385329545,3998.58576319152,3790.19148780127
"Middle East & North Africa (excluding high income)","MNA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (excluding high income)","MNA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","GDP per capita (current US$)","NY.GDP.PCAP.CD",4483.24551279559,4328.80741394876,3811.77355399615,3836.32168882378,3773.13676844095,3518.38198930639,3473.74136805429,3118.7490320247,3589.59535190625,4001.12264499328,3793.48753242901
"Middle East & North Africa (IDA & IBRD countries)","TMN","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle income","MIC","GDP per capita (current US$)","NY.GDP.PCAP.CD",4933.77152428747,5036.88597556996,4715.50544348269,4698.95569942803,5107.25027858374,5372.2689080244,5442.66229375372,5197.80235289827,6085.76413323992,6407.49832355819,5299.83649328264
"Middle income","MIC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle income","MIC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD",53234.150098465,54714.4709286191,55452.4213839576,56312.4348848537,58423.8858786865,61174.7773442449,63203.3738891388,61483.0007500548,68399.102745446,74160.9967655373,60655.8614669004
"North America","NAC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North America","NAC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not classified","INX","GDP per capita (current US$)","NY.GDP.PCAP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not classified","INX","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Not classified","INX","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD members","OED","GDP per capita (current US$)","NY.GDP.PCAP.CD",37546.4785013602,38068.4952667378,35666.4567387794,36115.1930669069,37476.546622471,39416.2426110161,39583.2257001017,38402.1175973772,42731.2889452911,43476.378035187,38848.2423085228
"OECD members","OED","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD members","OED","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other small states","OSS","GDP per capita (current US$)","NY.GDP.PCAP.CD",15303.8429454188,15445.7156803132,12502.8728769793,12088.9097712616,12902.1701956534,14076.2635058753,13574.6077874429,11686.9341069944,13975.166508629,16003.0975333558,13755.9580911924
"Other small states","OSS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other small states","OSS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific island small states","PSS","GDP per capita (current US$)","NY.GDP.PCAP.CD",3582.87827915284,3851.25133939411,3723.87511414044,3866.86186006748,4128.66101841916,4288.22621835563,4222.88212863928,3698.09906008349,3650.85415168242,3912.18563859534,3892.57748085302
"Pacific island small states","PSS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific island small states","PSS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-demographic dividend","PST","GDP per capita (current US$)","NY.GDP.PCAP.CD",42523.7433817556,43170.2952375523,40636.3472020662,41363.385868283,42968.2895266901,45382.7639530052,45700.0608043909,44514.122675445,49527.6601289198,50482.1131303832,44626.8781908491
"Post-demographic dividend","PST","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-demographic dividend","PST","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pre-demographic dividend","PRE","GDP per capita (current US$)","NY.GDP.PCAP.CD",1820.0163443348,1877.25470661257,1563.46933235924,1388.67825973899,1438.13131092546,1452.89996730644,1489.89883027873,1330.42076985875,1417.16418953831,1558.02127680397,1533.59549877573
"Pre-demographic dividend","PRE","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pre-demographic dividend","PRE","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Small states","SST","GDP per capita (current US$)","NY.GDP.PCAP.CD",13668.0873540821,13841.6816408484,11588.2234057817,11169.7393118569,11864.8222319502,12823.5400176657,12448.873754335,10704.4072651703,12682.8172192726,14684.0579128602,12547.6250113823
"Small states","SST","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Small states","SST","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD",1380.00341254718,1490.71774949595,1539.4706005076,1675.43875197015,1887.89056136563,1920.14005541373,1965.09423623942,1853.84590090852,2136.19289074982,2287.41612436406,1813.62102835621
"South Asia","SAS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Asia","SAS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Asia (IDA & IBRD)","TSA","GDP per capita (current US$)","NY.GDP.PCAP.CD",1380.00341254717,1490.71774949595,1539.4706005076,1675.43875197015,1887.89056136563,1920.14005541373,1965.09423623942,1853.84590090852,2136.19289074982,2287.41612436406,1813.6210283562
"South Asia (IDA & IBRD)","TSA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Asia (IDA & IBRD)","TSA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD",1906.02683366202,1937.32519909579,1687.10091516037,1526.95769331624,1611.0990750748,1630.05597191173,1631.31214101577,1490.34966585367,1635.21734094322,1701.24538173745,1675.66902177711
"Sub-Saharan Africa","SSF","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa","SSF","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA","GDP per capita (current US$)","NY.GDP.PCAP.CD",1904.81902023681,1936.09169028439,1685.87762138125,1525.6890557515,1609.80618677888,1628.7465208518,1629.98722074952,1489.4490671341,1634.26533568468,1700.1021810069,1674.48338998598
"Sub-Saharan Africa (excluding high income)","SSA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","GDP per capita (current US$)","NY.GDP.PCAP.CD",1906.02683366202,1937.32519909579,1687.10091516038,1526.95769331624,1611.0990750748,1630.05597191173,1631.31214101577,1490.34966585367,1635.21734094322,1701.24538173745,1675.66902177711
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper middle income","UMC","GDP per capita (current US$)","NY.GDP.PCAP.CD",8078.03798065752,8239.68433528291,7683.61110791406,7607.59673123082,8352.32602595892,8912.56758144997,9023.20299187993,8663.00209318727,10271.8014880384,10814.277575258,8764.61079108578
"Upper middle income","UMC","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper middle income","UMC","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD",10749.9606700589,10911.1271233098,10168.1245411851,10215.5854364314,10754.9297534255,11297.4524007067,11338.1503188002,10904.1476135154,12316.102461459,12687.741894173,11134.3322213065
"World","WLD","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"World","WLD","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD",638.733184780223,626.512930450573,566.881132665072,523.053012101752,526.140801271383,492.090632280226,497.741429257502,512.055098228687,355.777826392648,NA,526.554005269785
"Afghanistan","AFG","Government Effectiveness: Estimate","GE.EST",-1.39949083328247,-1.35930466651917,-1.39618384838104,-1.29025280475616,-1.38897216320038,-1.50134539604187,-1.51861417293549,-1.60950922966003,-1.66956210136414,-1.87955236434937,-1.50127875804901
